ID,Posted at,Screen name,Text
815604868748546048,2017-01-01 17:05:28 +0000,WhiteHouse,RT @POTUS: It’s been the privilege of my life to serve as your President. I look forward to standing with you as a citizen. Happy New Year everybody.
815604660690153472,2017-01-01 17:04:38 +0000,WhiteHouse,"RT @POTUS: From realizing marriage equality to removing barriers to opportunity, we've made history in our work to reaffirm that all are created equal."
815604211706642432,2017-01-01 17:02:51 +0000,WhiteHouse,RT @POTUS: We brought home more of our troops & strengthened U.S. leadership—leading with diplomacy & partnering with nations to meet global problems.
815603220865253377,2017-01-01 16:58:55 +0000,WhiteHouse,"RT @POTUS: We traded foreign oil for clean energy, we doubled fuel efficiency standards, & we acted on a global scale to save… https://t.co/U2n4myQUkV"
815602410357981185,2017-01-01 16:55:42 +0000,WhiteHouse,"RT @POTUS: After decades of rising health care costs, today nearly every American now has access to the financial security of… https://t.co/P9VEPIE3Ab"
815602047961530368,2017-01-01 16:54:16 +0000,WhiteHouse,"RT @POTUS: Facing the worst financial crisis in 80 years, you delivered the longest streak of job growth in our history. https://t.co/Vk3PfRgZqF"
815601854117711872,2017-01-01 16:53:29 +0000,WhiteHouse,"RT @POTUS: As we look ahead to the future, I wanted to take a moment to look back on the remarkable progress that you made possible these past 8 years."
815422553866915841,2017-01-01 05:01:01 +0000,WhiteHouse,Happy New Year! https://t.co/fdjReo1xO1
815405777921916930,2017-01-01 03:54:21 +0000,WhiteHouse,"Statement on the terrorist attack in Istanbul, Turkey: https://t.co/jTe2lMbA1c"
815341911405895684,2016-12-31 23:40:34 +0000,WhiteHouse,"""That's @POTUS!"" #ObamaAndKids #YearInPhotos https://t.co/KXfmmHL0fF"
815337493348290562,2016-12-31 23:23:01 +0000,WhiteHouse,Water fight with @VP! #YearInPhotos https://t.co/6i6vJ1d0K0
815329346684588033,2016-12-31 22:50:38 +0000,WhiteHouse,"Through diplomacy @POTUS:
Shut down Iran’s nuclear weapons program ✓
Opened a new chapter with the people of Cuba ✓
https://t.co/UldBhTwM1T"
815321772413386752,2016-12-31 22:20:33 +0000,WhiteHouse,"The rainbow White House ✓
#BigBlockofCheeseDay ✓
360° view of the East Wing ✓
 
See some of our top digital moments… https://t.co/daNdxFpiyt"
815310361867993088,2016-12-31 21:35:12 +0000,WhiteHouse,A year in photos with the Commander in Chief who’s a dad at heart: https://t.co/bBd1oCkUBa #YearInPhotos https://t.co/Xpwf7GHpNp
815293198813667329,2016-12-31 20:27:00 +0000,WhiteHouse,"20 million more Americans now  have health insurance ✓ 
HS graduation at an all-time high ✓
A record of progress: https://t.co/UldBhTOmTr"
815292066523713540,2016-12-31 20:22:30 +0000,WhiteHouse,RT @Interior: Ending 2016 with our most popular post: A leap & a miss for this hunting fox @YellowstoneNPS. Happy New Year! https://t.co/MqRRhoBG7o
815281425444380672,2016-12-31 19:40:13 +0000,WhiteHouse,#ObamaAndKids in 2016. See the White House’s #YearInPhotos as chosen by @PeteSouza: https://t.co/bBd1oCkUBa https://t.co/hUhfnulUN9
815277350103322624,2016-12-31 19:24:02 +0000,WhiteHouse,"""We’ve turned recession into recovery. Our businesses have created 15.6 million new jobs since early 2010"" —@POTUS"
815271316643155968,2016-12-31 19:00:03 +0000,WhiteHouse,"This year, @HamiltonMusical came to the WH to perform for students . Today, we’re bringing it to you here ⇓ #Bam4Ham https://t.co/CqXpzbOtDi"
815263790560382976,2016-12-31 18:30:09 +0000,WhiteHouse,"Every day, @POTUS reads 10 letters from Americans across the country. Here are some of the highlights:… https://t.co/XqNO34M6Kr"
815258222533742592,2016-12-31 18:08:01 +0000,WhiteHouse,Looking back at eight years of letters to @POTUS from the American people: https://t.co/CyuJkXljU3 https://t.co/t3lBqK9JAc
